Record_ID,State,District,Crop,Season,Year,Soil_Type,N_kg_ha,P_kg_ha,K_kg_ha,pH,Avg_Temperature_C,Humidity_pct,Rainfall_mm,Fertilizer_Used_kg_ha,Yield_tons_per_ha
1001,Punjab,Ludhiana,Wheat,Rabi,2019,Alluvial,97,63,42,7.7,21.7,70.0,428.4,138.7,4.0
1002,Punjab,Ludhiana,Rice,Kharif,2019,Alluvial,65,44,39,7.49,27.4,70.0,619.2,86.6,2.81
1003,Punjab,Ludhiana,Maize,Kharif,2019,Alluvial,141,43,31,7.25,26.2,70.0,368.4,166.4,3.74
1004,Punjab,Ludhiana,Cotton,Kharif,2019,Alluvial,79,29,48,7.03,20.2,70.0,682.7,105.3,2.22
1005,Punjab,Patiala,Wheat,Rabi,2019,Alluvial,124,68,29,7.13,21.4,70.0,549.7,190.0,4.31
1006,Punjab,Patiala,Rice,Kharif,2019,Alluvial,106,46,43,7.78,18.9,70.0,839.9,158.3,3.53
1007,Punjab,Patiala,Maize,Kharif,2019,Alluvial,59,50,28,7.48,28.6,70.0,746.3,116.7,2.93
1008,Punjab,Patiala,Cotton,Kharif,2019,Alluvial,87,33,43,8.06,23.1,70.0,665.9,112.9,2.48
1009,Uttar Pradesh,Kanpur,Wheat,Rabi,2019,Alluvial,3,0,9,4.47,36.7,70.0,140.8,15.3,0.29
1010,Uttar Pradesh,Kanpur,Rice,Kharif,2019,Alluvial,89,47,45,7.35,27.6,70.0,910.0,144.0,3.57
1011,Uttar Pradesh,Kanpur,Maize,Kharif,2019,Alluvial,93,32,26,7.08,28.3,70.0,872.6,96.6,3.21
1012,Uttar Pradesh,Kanpur,Cotton,Kharif,2019,Alluvial,75,36,37,7.34,24.2,70.0,526.2,101.3,2.24
1013,Uttar Pradesh,Varanasi,Wheat,Rabi,2019,Alluvial,148,40,39,7.02,21.3,70.0,336.0,216.9,4.42
1014,Uttar Pradesh,Varanasi,Rice,Kharif,2019,Alluvial,14,19,3,5.01,40.1,70.0,73.8,22.8,0.33
1015,Uttar Pradesh,Varanasi,Maize,Kharif,2019,Alluvial,118,53,21,7.02,18.5,70.0,430.6,153.0,3.66
1016,Uttar Pradesh,Varanasi,Cotton,Kharif,2019,Alluvial,48,40,29,7.14,19.7,70.0,955.7,66.2,2.2
1017,West Bengal,Hooghly,Wheat,Rabi,2019,Alluvial,112,65,50,6.66,19.1,70.0,469.3,184.5,4.78
1018,West Bengal,Hooghly,Rice,Kharif,2019,Alluvial,105,57,37,6.1,27.4,70.0,921.0,158.4,3.85
1019,West Bengal,Hooghly,Maize,Kharif,2019,Alluvial,94,48,31,6.13,26.5,70.0,457.0,148.1,3.63
1020,West Bengal,Hooghly,Cotton,Kharif,2019,Alluvial,103,31,49,6.62,22.4,70.0,365.6,140.1,2.7
1021,West Bengal,Bardhaman,Wheat,Rabi,2019,Clay Loam,137,57,52,6.36,20.3,70.0,644.8,223.6,4.58
1022,West Bengal,Bardhaman,Rice,Kharif,2019,Clay Loam,78,54,47,6.41,28.2,70.0,974.5,128.3,3.71
1023,West Bengal,Bardhaman,Maize,Kharif,2019,Clay Loam,110,36,20,6.05,24.8,70.0,787.2,149.5,3.18
1024,West Bengal,Bardhaman,Cotton,Kharif,2019,Clay Loam,18,19,2,4.78,39.9,70.0,124.1,26.3,0.1
1025,Maharashtra,Nashik,Wheat,Rabi,2019,Black Soil,147,65,45,7.95,25.8,70.0,858.8,256.8,4.67
1026,Maharashtra,Nashik,Rice,Kharif,2019,Black Soil,113,38,34,7.85,23.6,70.0,325.2,130.6,3.04
1027,Maharashtra,Nashik,Maize,Kharif,2019,Black Soil,97,35,40,7.82,20.6,70.0,839.0,108.8,3.24
1028,Maharashtra,Nashik,Cotton,Kharif,2019,Black Soil,15,10,9,5.09,37.3,70.0,101.6,29.3,0.68
1029,Maharashtra,Pune,Wheat,Rabi,2019,Black Soil,111,43,32,8.0,24.6,70.0,475.2,140.4,3.53
1030,Maharashtra,Pune,Rice,Kharif,2019,Black Soil,74,59,71,7.81,27.1,70.0,549.2,98.4,3.47
1031,Maharashtra,Pune,Maize,Kharif,2019,Black Soil,3,0,0,5.28,35.7,70.0,97.4,21.1,0.1
1032,Maharashtra,Pune,Cotton,Kharif,2019,Black Soil,59,20,26,7.96,22.5,70.0,331.7,94.8,1.71
1033,Tamil Nadu,Thanjavur,Wheat,Rabi,2019,Red Loam,166,50,44,6.86,25.0,70.0,318.6,197.0,4.66
1034,Tamil Nadu,Thanjavur,Rice,Kharif,2019,Red Loam,113,43,71,7.01,29.5,70.0,570.3,148.5,3.97
1035,Tamil Nadu,Thanjavur,Maize,Kharif,2019,Red Loam,94,34,38,6.91,28.5,70.0,740.3,110.8,3.63
1036,Tamil Nadu,Thanjavur,Cotton,Kharif,2019,Red Loam,92,45,32,6.26,22.1,70.0,843.5,109.7,2.52
1037,Andhra Pradesh,Kurnool,Wheat,Rabi,2019,Red Soil,111,73,40,7.3,18.1,70.0,572.4,164.7,4.49
1038,Andhra Pradesh,Kurnool,Rice,Kharif,2019,Red Soil,97,69,60,6.56,26.1,70.0,530.1,145.5,4.34
1039,Andhra Pradesh,Kurnool,Maize,Kharif,2019,Red Soil,103,39,21,7.12,28.7,70.0,609.1,124.0,3.24
1040,Andhra Pradesh,Kurnool,Cotton,Kharif,2019,Red Soil,22,12,1,4.13,40.8,70.0,57.3,21.0,0.1
1041,Punjab,Ludhiana,Wheat,Rabi,2020,Alluvial,143,55,33,7.81,19.3,70.0,934.4,156.4,4.36
1042,Punjab,Ludhiana,Rice,Kharif,2020,Alluvial,99,47,53,7.15,22.5,70.0,973.5,144.4,3.91
1043,Punjab,Ludhiana,Maize,Kharif,2020,Alluvial,83,44,30,7.7,25.6,70.0,666.2,125.3,3.21
1044,Punjab,Ludhiana,Cotton,Kharif,2020,Alluvial,123,32,48,7.46,20.3,70.0,494.2,181.4,2.51
1045,Punjab,Patiala,Wheat,Rabi,2020,Alluvial,140,41,20,7.71,28.9,70.0,413.8,181.4,3.8
1046,Punjab,Patiala,Rice,Kharif,2020,Alluvial,73,68,61,7.46,28.1,70.0,978.9,101.7,3.79
1047,Punjab,Patiala,Maize,Kharif,2020,Alluvial,40,30,28,7.58,30.0,70.0,999.8,67.9,2.48
1048,Punjab,Patiala,Cotton,Kharif,2020,Alluvial,70,46,29,7.56,26.1,70.0,460.0,108.6,2.31
1049,Uttar Pradesh,Kanpur,Wheat,Rabi,2020,Alluvial,103,56,42,7.81,24.6,70.0,896.5,149.5,4.12
1050,Uttar Pradesh,Kanpur,Rice,Kharif,2020,Alluvial,95,59,56,7.61,18.2,70.0,395.5,127.7,3.85
1051,Uttar Pradesh,Kanpur,Maize,Kharif,2020,Alluvial,55,54,38,7.16,22.8,70.0,848.6,101.2,3.04
1052,Uttar Pradesh,Kanpur,Cotton,Kharif,2020,Alluvial,45,39,43,7.19,20.9,70.0,743.4,45.2,2.19
1053,Uttar Pradesh,Varanasi,Wheat,Rabi,2020,Alluvial,3,2,2,4.21,37.4,70.0,68.2,19.2,0.1
1054,Uttar Pradesh,Varanasi,Rice,Kharif,2020,Alluvial,119,45,45,6.76,19.4,70.0,362.1,146.6,3.83
1055,Uttar Pradesh,Varanasi,Maize,Kharif,2020,Alluvial,86,59,30,6.79,29.1,70.0,911.5,136.4,3.58
1056,Uttar Pradesh,Varanasi,Cotton,Kharif,2020,Alluvial,75,32,45,6.84,25.4,70.0,639.2,82.2,2.27
1057,West Bengal,Hooghly,Wheat,Rabi,2020,Alluvial,76,65,43,7.42,23.4,70.0,375.0,144.8,3.82
1058,West Bengal,Hooghly,Rice,Kharif,2020,Alluvial,104,48,49,6.18,19.4,70.0,529.2,132.6,3.91
1059,West Bengal,Hooghly,Maize,Kharif,2020,Alluvial,108,39,44,6.52,26.9,70.0,710.8,126.3,3.64
1060,West Bengal,Hooghly,Cotton,Kharif,2020,Alluvial,76,53,26,5.93,25.3,70.0,990.6,132.5,2.07
1061,West Bengal,Bardhaman,Wheat,Rabi,2020,Clay Loam,115,53,35,6.02,28.8,70.0,421.4,144.4,3.83
1062,West Bengal,Bardhaman,Rice,Kharif,2020,Clay Loam,83,53,49,6.27,20.1,70.0,480.5,129.5,3.8
1063,West Bengal,Bardhaman,Maize,Kharif,2020,Clay Loam,94,23,35,6.0,23.1,70.0,526.6,121.0,2.95
1064,West Bengal,Bardhaman,Cotton,Kharif,2020,Clay Loam,18,5,8,4.23,35.4,70.0,103.3,14.4,0.11
1065,Maharashtra,Nashik,Wheat,Rabi,2020,Black Soil,107,67,51,8.03,22.2,70.0,588.3,149.7,4.46
1066,Maharashtra,Nashik,Rice,Kharif,2020,Black Soil,107,43,50,7.75,27.5,70.0,397.8,158.9,3.55
1067,Maharashtra,Nashik,Maize,Kharif,2020,Black Soil,83,36,35,8.11,22.7,70.0,914.0,78.7,3.09
1068,Maharashtra,Nashik,Cotton,Kharif,2020,Black Soil,39,29,21,7.69,28.8,70.0,462.5,62.5,1.8
1069,Maharashtra,Pune,Wheat,Rabi,2020,Black Soil,137,60,31,7.59,19.7,70.0,534.4,187.5,4.31
1070,Maharashtra,Pune,Rice,Kharif,2020,Black Soil,112,72,51,7.57,26.9,70.0,473.9,162.7,3.85
1071,Maharashtra,Pune,Maize,Kharif,2020,Black Soil,17,15,13,4.51,40.9,70.0,61.1,24.6,0.25
1072,Maharashtra,Pune,Cotton,Kharif,2020,Black Soil,60,35,34,7.79,26.3,70.0,748.8,102.6,1.88
1073,Tamil Nadu,Thanjavur,Wheat,Rabi,2020,Red Loam,125,42,54,7.0,25.0,70.0,407.3,157.8,4.71
1074,Tamil Nadu,Thanjavur,Rice,Kharif,2020,Red Loam,26,18,8,5.04,36.1,70.0,120.7,27.7,1.42
1075,Tamil Nadu,Thanjavur,Maize,Kharif,2020,Red Loam,63,58,31,6.83,29.8,70.0,379.3,108.0,3.42
1076,Tamil Nadu,Thanjavur,Cotton,Kharif,2020,Red Loam,81,50,23,7.26,18.1,70.0,862.0,118.6,2.34
1077,Andhra Pradesh,Kurnool,Wheat,Rabi,2020,Red Soil,137,36,37,7.29,20.7,70.0,616.6,184.9,4.06
1078,Andhra Pradesh,Kurnool,Rice,Kharif,2020,Red Soil,95,47,23,7.08,25.6,70.0,706.4,129.1,3.32
1079,Andhra Pradesh,Kurnool,Maize,Kharif,2020,Red Soil,19,3,14,4.22,42.0,70.0,58.5,12.4,0.47
1080,Andhra Pradesh,Kurnool,Cotton,Kharif,2020,Red Soil,22,4,13,4.31,38.3,70.0,53.7,5.7,0.14
1081,Punjab,Ludhiana,Wheat,Rabi,2021,Alluvial,147,33,19,7.03,28.3,70.0,427.3,155.7,3.9
1082,Punjab,Ludhiana,Rice,Kharif,2021,Alluvial,71,42,38,7.93,20.7,70.0,319.0,118.6,2.94
1083,Punjab,Ludhiana,Maize,Kharif,2021,Alluvial,91,38,35,7.08,26.7,70.0,470.2,116.1,3.48
1084,Punjab,Ludhiana,Cotton,Kharif,2021,Alluvial,72,51,29,7.58,19.0,70.0,309.1,121.7,2.27
1085,Punjab,Patiala,Wheat,Rabi,2021,Alluvial,86,77,27,7.36,25.5,70.0,487.6,167.3,3.68
1086,Punjab,Patiala,Rice,Kharif,2021,Alluvial,58,66,52,7.57,23.8,70.0,907.9,102.6,3.34
1087,Punjab,Patiala,Maize,Kharif,2021,Alluvial,83,53,51,7.8,29.8,70.0,884.5,116.1,3.34
1088,Punjab,Patiala,Cotton,Kharif,2021,Alluvial,69,32,41,7.31,28.0,70.0,756.0,100.7,2.11
1089,Uttar Pradesh,Kanpur,Wheat,Rabi,2021,Alluvial,152,75,29,7.35,24.2,70.0,568.2,209.6,4.64
1090,Uttar Pradesh,Kanpur,Rice,Kharif,2021,Alluvial,4,14,1,4.9,37.0,70.0,88.9,7.4,0.36
1091,Uttar Pradesh,Kanpur,Maize,Kharif,2021,Alluvial,72,30,56,7.35,20.6,70.0,812.8,98.8,3.02
1092,Uttar Pradesh,Kanpur,Cotton,Kharif,2021,Alluvial,82,23,49,7.09,26.7,70.0,352.6,104.0,2.58
1093,Uttar Pradesh,Varanasi,Wheat,Rabi,2021,Alluvial,119,67,34,7.19,25.1,70.0,490.5,187.2,4.31
1094,Uttar Pradesh,Varanasi,Rice,Kharif,2021,Alluvial,95,36,47,7.32,27.7,70.0,812.6,125.6,3.5
1095,Uttar Pradesh,Varanasi,Maize,Kharif,2021,Alluvial,111,39,13,7.13,24.8,70.0,426.4,145.3,3.08
1096,Uttar Pradesh,Varanasi,Cotton,Kharif,2021,Alluvial,101,51,39,6.86,18.4,70.0,880.2,155.1,2.52
1097,West Bengal,Hooghly,Wheat,Rabi,2021,Alluvial,2,13,5,5.09,38.8,70.0,81.5,2.0,0.28
1098,West Bengal,Hooghly,Rice,Kharif,2021,Alluvial,120,35,52,6.77,27.6,70.0,957.3,149.2,4.04
1099,West Bengal,Hooghly,Maize,Kharif,2021,Alluvial,114,33,24,5.75,27.2,70.0,988.9,154.2,3.15
1100,West Bengal,Hooghly,Cotton,Kharif,2021,Alluvial,111,34,35,6.42,20.8,70.0,507.4,118.0,2.25
1101,West Bengal,Bardhaman,Wheat,Rabi,2021,Clay Loam,0,19,6,4.58,41.6,70.0,71.8,20.4,0.3
1102,West Bengal,Bardhaman,Rice,Kharif,2021,Clay Loam,95,73,43,6.55,20.8,70.0,658.9,177.7,3.92
1103,West Bengal,Bardhaman,Maize,Kharif,2021,Clay Loam,78,33,41,6.63,19.8,70.0,787.2,95.8,3.27
1104,West Bengal,Bardhaman,Cotton,Kharif,2021,Clay Loam,92,63,49,5.95,21.2,70.0,914.2,144.9,2.59
1105,Maharashtra,Nashik,Wheat,Rabi,2021,Black Soil,141,58,32,7.39,24.0,70.0,806.4,176.4,4.32
1106,Maharashtra,Nashik,Rice,Kharif,2021,Black Soil,104,15,41,8.16,26.1,70.0,543.5,121.1,2.58
1107,Maharashtra,Nashik,Maize,Kharif,2021,Black Soil,99,45,41,8.05,26.2,70.0,788.2,142.6,3.58
1108,Maharashtra,Nashik,Cotton,Kharif,2021,Black Soil,92,36,31,7.59,28.0,70.0,872.6,128.2,2.34
1109,Maharashtra,Pune,Wheat,Rabi,2021,Black Soil,120,61,40,7.09,24.5,70.0,743.8,180.0,4.45
1110,Maharashtra,Pune,Rice,Kharif,2021,Black Soil,104,55,50,7.86,19.2,70.0,952.4,126.4,3.66
1111,Maharashtra,Pune,Maize,Kharif,2021,Black Soil,9,14,1,4.87,35.3,70.0,112.1,10.4,0.24
1112,Maharashtra,Pune,Cotton,Kharif,2021,Black Soil,68,43,55,7.48,30.0,70.0,491.5,94.1,2.65
1113,Tamil Nadu,Thanjavur,Wheat,Rabi,2021,Red Loam,95,58,46,7.1,29.4,70.0,491.3,158.2,4.41
1114,Tamil Nadu,Thanjavur,Rice,Kharif,2021,Red Loam,113,49,68,6.48,22.9,70.0,988.8,129.3,4.22
1115,Tamil Nadu,Thanjavur,Maize,Kharif,2021,Red Loam,75,33,30,6.73,29.6,70.0,631.2,115.7,3.15
1116,Tamil Nadu,Thanjavur,Cotton,Kharif,2021,Red Loam,86,44,45,6.93,18.4,70.0,391.9,130.8,2.74
1117,Andhra Pradesh,Kurnool,Wheat,Rabi,2021,Red Soil,144,64,29,7.09,20.4,70.0,601.2,200.8,4.47
1118,Andhra Pradesh,Kurnool,Rice,Kharif,2021,Red Soil,102,43,58,6.9,18.9,70.0,308.1,129.7,3.71
1119,Andhra Pradesh,Kurnool,Maize,Kharif,2021,Red Soil,139,35,40,6.77,23.8,70.0,327.7,172.6,3.8
1120,Andhra Pradesh,Kurnool,Cotton,Kharif,2021,Red Soil,7,19,2,4.75,38.9,70.0,120.2,18.5,0.1
1121,Punjab,Ludhiana,Wheat,Rabi,2022,Alluvial,120,49,37,7.94,20.4,70.0,860.4,168.8,4.03
1122,Punjab,Ludhiana,Rice,Kharif,2022,Alluvial,28,1,8,5.06,40.6,70.0,121.4,26.1,1.25
1123,Punjab,Ludhiana,Maize,Kharif,2022,Alluvial,92,49,28,7.8,19.0,70.0,812.1,137.2,3.52
1124,Punjab,Ludhiana,Cotton,Kharif,2022,Alluvial,7,3,13,4.33,36.3,70.0,83.7,29.3,0.15
1125,Punjab,Patiala,Wheat,Rabi,2022,Alluvial,142,77,44,7.61,26.2,70.0,439.7,205.4,4.74
1126,Punjab,Patiala,Rice,Kharif,2022,Alluvial,66,59,58,7.04,29.9,70.0,559.7,99.7,3.51
1127,Punjab,Patiala,Maize,Kharif,2022,Alluvial,130,50,29,7.55,25.1,70.0,493.8,183.3,3.74
1128,Punjab,Patiala,Cotton,Kharif,2022,Alluvial,107,44,33,7.7,21.0,70.0,644.6,137.8,2.48
1129,Uttar Pradesh,Kanpur,Wheat,Rabi,2022,Alluvial,141,71,22,7.09,21.1,70.0,978.6,181.0,4.33
1130,Uttar Pradesh,Kanpur,Rice,Kharif,2022,Alluvial,123,34,47,6.57,23.2,70.0,880.2,154.0,3.98
1131,Uttar Pradesh,Kanpur,Maize,Kharif,2022,Alluvial,62,36,26,7.1,27.7,70.0,890.9,122.0,3.02
1132,Uttar Pradesh,Kanpur,Cotton,Kharif,2022,Alluvial,84,36,34,7.21,18.5,70.0,955.6,102.5,2.4
1133,Uttar Pradesh,Varanasi,Wheat,Rabi,2022,Alluvial,99,60,20,7.27,24.2,70.0,618.3,152.2,3.91
1134,Uttar Pradesh,Varanasi,Rice,Kharif,2022,Alluvial,0,6,10,4.3,35.7,70.0,147.0,20.2,0.15
1135,Uttar Pradesh,Varanasi,Maize,Kharif,2022,Alluvial,111,38,35,6.72,28.4,70.0,732.5,140.9,3.97
1136,Uttar Pradesh,Varanasi,Cotton,Kharif,2022,Alluvial,102,51,46,6.66,25.9,70.0,374.6,167.3,2.59
1137,West Bengal,Hooghly,Wheat,Rabi,2022,Alluvial,140,57,43,6.93,21.9,70.0,582.9,194.1,4.75
1138,West Bengal,Hooghly,Rice,Kharif,2022,Alluvial,111,57,47,6.91,18.1,70.0,681.1,154.3,4.06
1139,West Bengal,Hooghly,Maize,Kharif,2022,Alluvial,64,23,21,6.97,20.7,70.0,561.3,59.1,2.61
1140,West Bengal,Hooghly,Cotton,Kharif,2022,Alluvial,18,13,9,4.7,38.6,70.0,136.3,11.4,0.11
1141,West Bengal,Bardhaman,Wheat,Rabi,2022,Clay Loam,119,46,23,6.51,27.2,70.0,725.5,192.4,3.76
1142,West Bengal,Bardhaman,Rice,Kharif,2022,Clay Loam,117,47,53,6.14,23.8,70.0,371.0,162.9,3.99
1143,West Bengal,Bardhaman,Maize,Kharif,2022,Clay Loam,70,41,43,6.48,21.3,70.0,801.3,79.2,3.23
1144,West Bengal,Bardhaman,Cotton,Kharif,2022,Clay Loam,75,30,45,6.75,24.8,70.0,374.8,102.3,2.43
1145,Maharashtra,Nashik,Wheat,Rabi,2022,Black Soil,118,61,35,7.84,28.6,70.0,873.4,174.9,3.97
1146,Maharashtra,Nashik,Rice,Kharif,2022,Black Soil,86,61,46,7.72,27.4,70.0,465.8,146.1,3.57
1147,Maharashtra,Nashik,Maize,Kharif,2022,Black Soil,78,33,32,7.55,20.0,70.0,710.6,136.6,3.11
1148,Maharashtra,Nashik,Cotton,Kharif,2022,Black Soil,88,52,56,7.34,25.1,70.0,573.6,133.6,2.77
