Record_ID,State,District,Crop,Season,Year,Soil_Type,N_kg_ha,P_kg_ha,K_kg_ha,pH
1001,Punjab,Ludhiana,Wheat,Rabi,2019,Alluvial,97,63,42,7.7
1002,Punjab,Ludhiana,Rice,Kharif,2019,Alluvial,65,44,39,7.49
1003,Punjab,Ludhiana,Maize,Kharif,2019,Alluvial,141,43,31,7.25
1004,Punjab,Ludhiana,Cotton,Kharif,2019,Alluvial,79,29,48,7.03
1005,Punjab,Patiala,Wheat,Rabi,2019,Alluvial,124,68,29,7.13
1006,Punjab,Patiala,Rice,Kharif,2019,Alluvial,106,46,43,7.78
1007,Punjab,Patiala,Maize,Kharif,2019,Alluvial,59,50,28,7.48
1008,Punjab,Patiala,Cotton,Kharif,2019,Alluvial,87,33,43,8.06
1009,Uttar Pradesh,Kanpur,Wheat,Rabi,2019,Alluvial,3,0,9,4.47
1010,Uttar Pradesh,Kanpur,Rice,Kharif,2019,Alluvial,89,47,45,7.35
1011,Uttar Pradesh,Kanpur,Maize,Kharif,2019,Alluvial,93,32,26,7.08
1012,Uttar Pradesh,Kanpur,Cotton,Kharif,2019,Alluvial,75,36,37,7.34
1013,Uttar Pradesh,Varanasi,Wheat,Rabi,2019,Alluvial,148,40,39,7.02
1014,Uttar Pradesh,Varanasi,Rice,Kharif,2019,Alluvial,14,19,3,5.01
1015,Uttar Pradesh,Varanasi,Maize,Kharif,2019,Alluvial,118,53,21,7.02
1016,Uttar Pradesh,Varanasi,Cotton,Kharif,2019,Alluvial,48,40,29,7.14
1017,West Bengal,Hooghly,Wheat,Rabi,2019,Alluvial,112,65,50,6.66
1018,West Bengal,Hooghly,Rice,Kharif,2019,Alluvial,105,57,37,6.1
1019,West Bengal,Hooghly,Maize,Kharif,2019,Alluvial,94,48,31,6.13
1020,West Bengal,Hooghly,Cotton,Kharif,2019,Alluvial,103,31,49,6.62
1021,West Bengal,Bardhaman,Wheat,Rabi,2019,Clay Loam,137,57,52,6.36
1022,West Bengal,Bardhaman,Rice,Kharif,2019,Clay Loam,78,54,47,6.41
1023,West Bengal,Bardhaman,Maize,Kharif,2019,Clay Loam,110,36,20,6.05
1024,West Bengal,Bardhaman,Cotton,Kharif,2019,Clay Loam,18,19,2,4.78
1025,Maharashtra,Nashik,Wheat,Rabi,2019,Black Soil,147,65,45,7.95
1026,Maharashtra,Nashik,Rice,Kharif,2019,Black Soil,113,38,34,7.85
1027,Maharashtra,Nashik,Maize,Kharif,2019,Black Soil,97,35,40,7.82
1028,Maharashtra,Nashik,Cotton,Kharif,2019,Black Soil,15,10,9,5.09
1029,Maharashtra,Pune,Wheat,Rabi,2019,Black Soil,111,43,32,8.0
1030,Maharashtra,Pune,Rice,Kharif,2019,Black Soil,74,59,71,7.81
1031,Maharashtra,Pune,Maize,Kharif,2019,Black Soil,3,0,0,5.28
1032,Maharashtra,Pune,Cotton,Kharif,2019,Black Soil,59,20,26,7.96
1033,Tamil Nadu,Thanjavur,Wheat,Rabi,2019,Red Loam,166,50,44,6.86
1034,Tamil Nadu,Thanjavur,Rice,Kharif,2019,Red Loam,113,43,71,7.01
1035,Tamil Nadu,Thanjavur,Maize,Kharif,2019,Red Loam,94,34,38,6.91
1036,Tamil Nadu,Thanjavur,Cotton,Kharif,2019,Red Loam,92,45,32,6.26
1037,Andhra Pradesh,Kurnool,Wheat,Rabi,2019,Red Soil,111,73,40,7.3
1038,Andhra Pradesh,Kurnool,Rice,Kharif,2019,Red Soil,97,69,60,6.56
1039,Andhra Pradesh,Kurnool,Maize,Kharif,2019,Red Soil,103,39,21,7.12
1040,Andhra Pradesh,Kurnool,Cotton,Kharif,2019,Red Soil,22,12,1,4.13
1041,Punjab,Ludhiana,Wheat,Rabi,2020,Alluvial,143,55,33,7.81
1042,Punjab,Ludhiana,Rice,Kharif,2020,Alluvial,99,47,53,7.15
1043,Punjab,Ludhiana,Maize,Kharif,2020,Alluvial,83,44,30,7.7
1044,Punjab,Ludhiana,Cotton,Kharif,2020,Alluvial,123,32,48,7.46
1045,Punjab,Patiala,Wheat,Rabi,2020,Alluvial,140,41,20,7.71
1046,Punjab,Patiala,Rice,Kharif,2020,Alluvial,73,68,61,7.46
1047,Punjab,Patiala,Maize,Kharif,2020,Alluvial,40,30,28,7.58
1048,Punjab,Patiala,Cotton,Kharif,2020,Alluvial,70,46,29,7.56
1049,Uttar Pradesh,Kanpur,Wheat,Rabi,2020,Alluvial,103,56,42,7.81
1050,Uttar Pradesh,Kanpur,Rice,Kharif,2020,Alluvial,95,59,56,7.61
1051,Uttar Pradesh,Kanpur,Maize,Kharif,2020,Alluvial,55,54,38,7.16
1052,Uttar Pradesh,Kanpur,Cotton,Kharif,2020,Alluvial,45,39,43,7.19
1053,Uttar Pradesh,Varanasi,Wheat,Rabi,2020,Alluvial,3,2,2,4.21
1054,Uttar Pradesh,Varanasi,Rice,Kharif,2020,Alluvial,119,45,45,6.76
1055,Uttar Pradesh,Varanasi,Maize,Kharif,2020,Alluvial,86,59,30,6.79
1056,Uttar Pradesh,Varanasi,Cotton,Kharif,2020,Alluvial,75,32,45,6.84
1057,West Bengal,Hooghly,Wheat,Rabi,2020,Alluvial,76,65,43,7.42
1058,West Bengal,Hooghly,Rice,Kharif,2020,Alluvial,104,48,49,6.18
1059,West Bengal,Hooghly,Maize,Kharif,2020,Alluvial,108,39,44,6.52
1060,West Bengal,Hooghly,Cotton,Kharif,2020,Alluvial,76,53,26,5.93
1061,West Bengal,Bardhaman,Wheat,Rabi,2020,Clay Loam,115,53,35,6.02
1062,West Bengal,Bardhaman,Rice,Kharif,2020,Clay Loam,83,53,49,6.27
1063,West Bengal,Bardhaman,Maize,Kharif,2020,Clay Loam,94,23,35,6.0
1064,West Bengal,Bardhaman,Cotton,Kharif,2020,Clay Loam,18,5,8,4.23
1065,Maharashtra,Nashik,Wheat,Rabi,2020,Black Soil,107,67,51,8.03
1066,Maharashtra,Nashik,Rice,Kharif,2020,Black Soil,107,43,50,7.75
1067,Maharashtra,Nashik,Maize,Kharif,2020,Black Soil,83,36,35,8.11
1068,Maharashtra,Nashik,Cotton,Kharif,2020,Black Soil,39,29,21,7.69
1069,Maharashtra,Pune,Wheat,Rabi,2020,Black Soil,137,60,31,7.59
1070,Maharashtra,Pune,Rice,Kharif,2020,Black Soil,112,72,51,7.57
1071,Maharashtra,Pune,Maize,Kharif,2020,Black Soil,17,15,13,4.51
1072,Maharashtra,Pune,Cotton,Kharif,2020,Black Soil,60,35,34,7.79
1073,Tamil Nadu,Thanjavur,Wheat,Rabi,2020,Red Loam,125,42,54,7.0
1074,Tamil Nadu,Thanjavur,Rice,Kharif,2020,Red Loam,26,18,8,5.04
1075,Tamil Nadu,Thanjavur,Maize,Kharif,2020,Red Loam,63,58,31,6.83
1076,Tamil Nadu,Thanjavur,Cotton,Kharif,2020,Red Loam,81,50,23,7.26
1077,Andhra Pradesh,Kurnool,Wheat,Rabi,2020,Red Soil,137,36,37,7.29
1078,Andhra Pradesh,Kurnool,Rice,Kharif,2020,Red Soil,95,47,23,7.08
1079,Andhra Pradesh,Kurnool,Maize,Kharif,2020,Red Soil,19,3,14,4.22
1080,Andhra Pradesh,Kurnool,Cotton,Kharif,2020,Red Soil,22,4,13,4.31
1081,Punjab,Ludhiana,Wheat,Rabi,2021,Alluvial,147,33,19,7.03
1082,Punjab,Ludhiana,Rice,Kharif,2021,Alluvial,71,42,38,7.93
1083,Punjab,Ludhiana,Maize,Kharif,2021,Alluvial,91,38,35,7.08
1084,Punjab,Ludhiana,Cotton,Kharif,2021,Alluvial,72,51,29,7.58
1085,Punjab,Patiala,Wheat,Rabi,2021,Alluvial,86,77,27,7.36
1086,Punjab,Patiala,Rice,Kharif,2021,Alluvial,58,66,52,7.57
1087,Punjab,Patiala,Maize,Kharif,2021,Alluvial,83,53,51,7.8
1088,Punjab,Patiala,Cotton,Kharif,2021,Alluvial,69,32,41,7.31
1089,Uttar Pradesh,Kanpur,Wheat,Rabi,2021,Alluvial,152,75,29,7.35
1090,Uttar Pradesh,Kanpur,Rice,Kharif,2021,Alluvial,4,14,1,4.9
1091,Uttar Pradesh,Kanpur,Maize,Kharif,2021,Alluvial,72,30,56,7.35
1092,Uttar Pradesh,Kanpur,Cotton,Kharif,2021,Alluvial,82,23,49,7.09
1093,Uttar Pradesh,Varanasi,Wheat,Rabi,2021,Alluvial,119,67,34,7.19
1094,Uttar Pradesh,Varanasi,Rice,Kharif,2021,Alluvial,95,36,47,7.32
1095,Uttar Pradesh,Varanasi,Maize,Kharif,2021,Alluvial,111,39,13,7.13
1096,Uttar Pradesh,Varanasi,Cotton,Kharif,2021,Alluvial,101,51,39,6.86
1097,West Bengal,Hooghly,Wheat,Rabi,2021,Alluvial,2,13,5,5.09
