Record_ID,State,District,Crop,Year,Avg_Temperature_C,Humidity_pct,Rainfall_mm,Fertilizer_Used_kg_ha,Yield_tons_per_ha
1001,Punjab,Ludhiana,Wheat,2019,21.7,70.0,428.4,138.7,4.0
1002,Punjab,Ludhiana,Rice,2019,27.4,70.0,619.2,86.6,2.81
1003,Punjab,Ludhiana,Maize,2019,26.2,70.0,368.4,166.4,3.74
1004,Punjab,Ludhiana,Cotton,2019,20.2,70.0,682.7,105.3,2.22
1005,Punjab,Patiala,Wheat,2019,21.4,70.0,549.7,190.0,4.31
1006,Punjab,Patiala,Rice,2019,18.9,70.0,839.9,158.3,3.53
1007,Punjab,Patiala,Maize,2019,28.6,70.0,746.3,116.7,2.93
1008,Punjab,Patiala,Cotton,2019,23.1,70.0,665.9,112.9,2.48
1009,Uttar Pradesh,Kanpur,Wheat,2019,36.7,70.0,140.8,15.3,0.29
1010,Uttar Pradesh,Kanpur,Rice,2019,27.6,70.0,910.0,144.0,3.57
1011,Uttar Pradesh,Kanpur,Maize,2019,28.3,70.0,872.6,96.6,3.21
1012,Uttar Pradesh,Kanpur,Cotton,2019,24.2,70.0,526.2,101.3,2.24
1013,Uttar Pradesh,Varanasi,Wheat,2019,21.3,70.0,336.0,216.9,4.42
1014,Uttar Pradesh,Varanasi,Rice,2019,40.1,70.0,73.8,22.8,0.33
1015,Uttar Pradesh,Varanasi,Maize,2019,18.5,70.0,430.6,153.0,3.66
1016,Uttar Pradesh,Varanasi,Cotton,2019,19.7,70.0,955.7,66.2,2.2
1017,West Bengal,Hooghly,Wheat,2019,19.1,70.0,469.3,184.5,4.78
1018,West Bengal,Hooghly,Rice,2019,27.4,70.0,921.0,158.4,3.85
1019,West Bengal,Hooghly,Maize,2019,26.5,70.0,457.0,148.1,3.63
1020,West Bengal,Hooghly,Cotton,2019,22.4,70.0,365.6,140.1,2.7
1021,West Bengal,Bardhaman,Wheat,2019,20.3,70.0,644.8,223.6,4.58
1022,West Bengal,Bardhaman,Rice,2019,28.2,70.0,974.5,128.3,3.71
1023,West Bengal,Bardhaman,Maize,2019,24.8,70.0,787.2,149.5,3.18
1024,West Bengal,Bardhaman,Cotton,2019,39.9,70.0,124.1,26.3,0.1
1025,Maharashtra,Nashik,Wheat,2019,25.8,70.0,858.8,256.8,4.67
1026,Maharashtra,Nashik,Rice,2019,23.6,70.0,325.2,130.6,3.04
1027,Maharashtra,Nashik,Maize,2019,20.6,70.0,839.0,108.8,3.24
1028,Maharashtra,Nashik,Cotton,2019,37.3,70.0,101.6,29.3,0.68
1029,Maharashtra,Pune,Wheat,2019,24.6,70.0,475.2,140.4,3.53
1030,Maharashtra,Pune,Rice,2019,27.1,70.0,549.2,98.4,3.47
1031,Maharashtra,Pune,Maize,2019,35.7,70.0,97.4,21.1,0.1
1032,Maharashtra,Pune,Cotton,2019,22.5,70.0,331.7,94.8,1.71
1033,Tamil Nadu,Thanjavur,Wheat,2019,25.0,70.0,318.6,197.0,4.66
1034,Tamil Nadu,Thanjavur,Rice,2019,29.5,70.0,570.3,148.5,3.97
1035,Tamil Nadu,Thanjavur,Maize,2019,28.5,70.0,740.3,110.8,3.63
1036,Tamil Nadu,Thanjavur,Cotton,2019,22.1,70.0,843.5,109.7,2.52
1037,Andhra Pradesh,Kurnool,Wheat,2019,18.1,70.0,572.4,164.7,4.49
1038,Andhra Pradesh,Kurnool,Rice,2019,26.1,70.0,530.1,145.5,4.34
1039,Andhra Pradesh,Kurnool,Maize,2019,28.7,70.0,609.1,124.0,3.24
1040,Andhra Pradesh,Kurnool,Cotton,2019,40.8,70.0,57.3,21.0,0.1
1041,Punjab,Ludhiana,Wheat,2020,19.3,70.0,934.4,156.4,4.36
1042,Punjab,Ludhiana,Rice,2020,22.5,70.0,973.5,144.4,3.91
1043,Punjab,Ludhiana,Maize,2020,25.6,70.0,666.2,125.3,3.21
1044,Punjab,Ludhiana,Cotton,2020,20.3,70.0,494.2,181.4,2.51
1045,Punjab,Patiala,Wheat,2020,28.9,70.0,413.8,181.4,3.8
1046,Punjab,Patiala,Rice,2020,28.1,70.0,978.9,101.7,3.79
1047,Punjab,Patiala,Maize,2020,30.0,70.0,999.8,67.9,2.48
1048,Punjab,Patiala,Cotton,2020,26.1,70.0,460.0,108.6,2.31
1049,Uttar Pradesh,Kanpur,Wheat,2020,24.6,70.0,896.5,149.5,4.12
1050,Uttar Pradesh,Kanpur,Rice,2020,18.2,70.0,395.5,127.7,3.85
1051,Uttar Pradesh,Kanpur,Maize,2020,22.8,70.0,848.6,101.2,3.04
1052,Uttar Pradesh,Kanpur,Cotton,2020,20.9,70.0,743.4,45.2,2.19
1053,Uttar Pradesh,Varanasi,Wheat,2020,37.4,70.0,68.2,19.2,0.1
1054,Uttar Pradesh,Varanasi,Rice,2020,19.4,70.0,362.1,146.6,3.83
1055,Uttar Pradesh,Varanasi,Maize,2020,29.1,70.0,911.5,136.4,3.58
1056,Uttar Pradesh,Varanasi,Cotton,2020,25.4,70.0,639.2,82.2,2.27
1057,West Bengal,Hooghly,Wheat,2020,23.4,70.0,375.0,144.8,3.82
1058,West Bengal,Hooghly,Rice,2020,19.4,70.0,529.2,132.6,3.91
1059,West Bengal,Hooghly,Maize,2020,26.9,70.0,710.8,126.3,3.64
1060,West Bengal,Hooghly,Cotton,2020,25.3,70.0,990.6,132.5,2.07
1061,West Bengal,Bardhaman,Wheat,2020,28.8,70.0,421.4,144.4,3.83
1062,West Bengal,Bardhaman,Rice,2020,20.1,70.0,480.5,129.5,3.8
1063,West Bengal,Bardhaman,Maize,2020,23.1,70.0,526.6,121.0,2.95
1064,West Bengal,Bardhaman,Cotton,2020,35.4,70.0,103.3,14.4,0.11
1065,Maharashtra,Nashik,Wheat,2020,22.2,70.0,588.3,149.7,4.46
1066,Maharashtra,Nashik,Rice,2020,27.5,70.0,397.8,158.9,3.55
1067,Maharashtra,Nashik,Maize,2020,22.7,70.0,914.0,78.7,3.09
1068,Maharashtra,Nashik,Cotton,2020,28.8,70.0,462.5,62.5,1.8
1069,Maharashtra,Pune,Wheat,2020,19.7,70.0,534.4,187.5,4.31
1070,Maharashtra,Pune,Rice,2020,26.9,70.0,473.9,162.7,3.85
1071,Maharashtra,Pune,Maize,2020,40.9,70.0,61.1,24.6,0.25
1072,Maharashtra,Pune,Cotton,2020,26.3,70.0,748.8,102.6,1.88
1073,Tamil Nadu,Thanjavur,Wheat,2020,25.0,70.0,407.3,157.8,4.71
1074,Tamil Nadu,Thanjavur,Rice,2020,36.1,70.0,120.7,27.7,1.42
1075,Tamil Nadu,Thanjavur,Maize,2020,29.8,70.0,379.3,108.0,3.42
1076,Tamil Nadu,Thanjavur,Cotton,2020,18.1,70.0,862.0,118.6,2.34
1077,Andhra Pradesh,Kurnool,Wheat,2020,20.7,70.0,616.6,184.9,4.06
1078,Andhra Pradesh,Kurnool,Rice,2020,25.6,70.0,706.4,129.1,3.32
1079,Andhra Pradesh,Kurnool,Maize,2020,42.0,70.0,58.5,12.4,0.47
1080,Andhra Pradesh,Kurnool,Cotton,2020,38.3,70.0,53.7,5.7,0.14
1081,Punjab,Ludhiana,Wheat,2021,28.3,70.0,427.3,155.7,3.9
1082,Punjab,Ludhiana,Rice,2021,20.7,70.0,319.0,118.6,2.94
1083,Punjab,Ludhiana,Maize,2021,26.7,70.0,470.2,116.1,3.48
1084,Punjab,Ludhiana,Cotton,2021,19.0,70.0,309.1,121.7,2.27
1085,Punjab,Patiala,Wheat,2021,25.5,70.0,487.6,167.3,3.68
1086,Punjab,Patiala,Rice,2021,23.8,70.0,907.9,102.6,3.34
1087,Punjab,Patiala,Maize,2021,29.8,70.0,884.5,116.1,3.34
1088,Punjab,Patiala,Cotton,2021,28.0,70.0,756.0,100.7,2.11
1089,Uttar Pradesh,Kanpur,Wheat,2021,24.2,70.0,568.2,209.6,4.64
1090,Uttar Pradesh,Kanpur,Rice,2021,37.0,70.0,88.9,7.4,0.36
1091,Uttar Pradesh,Kanpur,Maize,2021,20.6,70.0,812.8,98.8,3.02
1092,Uttar Pradesh,Kanpur,Cotton,2021,26.7,70.0,352.6,104.0,2.58
1093,Uttar Pradesh,Varanasi,Wheat,2021,25.1,70.0,490.5,187.2,4.31
1094,Uttar Pradesh,Varanasi,Rice,2021,27.7,70.0,812.6,125.6,3.5
1095,Uttar Pradesh,Varanasi,Maize,2021,24.8,70.0,426.4,145.3,3.08
1096,Uttar Pradesh,Varanasi,Cotton,2021,18.4,70.0,880.2,155.1,2.52
1097,West Bengal,Hooghly,Wheat,2021,38.8,70.0,81.5,2.0,0.28
1098,West Bengal,Hooghly,Rice,2021,27.6,70.0,957.3,149.2,4.04
1099,West Bengal,Hooghly,Maize,2021,27.2,70.0,988.9,154.2,3.15
1100,West Bengal,Hooghly,Cotton,2021,20.8,70.0,507.4,118.0,2.25
1101,West Bengal,Bardhaman,Wheat,2021,41.6,70.0,71.8,20.4,0.3
1102,West Bengal,Bardhaman,Rice,2021,20.8,70.0,658.9,177.7,3.92
1103,West Bengal,Bardhaman,Maize,2021,19.8,70.0,787.2,95.8,3.27
1104,West Bengal,Bardhaman,Cotton,2021,21.2,70.0,914.2,144.9,2.59
1105,Maharashtra,Nashik,Wheat,2021,24.0,70.0,806.4,176.4,4.32
1106,Maharashtra,Nashik,Rice,2021,26.1,70.0,543.5,121.1,2.58
1107,Maharashtra,Nashik,Maize,2021,26.2,70.0,788.2,142.6,3.58
1108,Maharashtra,Nashik,Cotton,2021,28.0,70.0,872.6,128.2,2.34
1109,Maharashtra,Pune,Wheat,2021,24.5,70.0,743.8,180.0,4.45
1110,Maharashtra,Pune,Rice,2021,19.2,70.0,952.4,126.4,3.66
1111,Maharashtra,Pune,Maize,2021,35.3,70.0,112.1,10.4,0.24
1112,Maharashtra,Pune,Cotton,2021,30.0,70.0,491.5,94.1,2.65
1113,Tamil Nadu,Thanjavur,Wheat,2021,29.4,70.0,491.3,158.2,4.41
1114,Tamil Nadu,Thanjavur,Rice,2021,22.9,70.0,988.8,129.3,4.22
